School,Nickname,City,State,Conference,Division
Hunter College,Hawks,New York,New York,City University of New York Athletic Conference,III
Huntingdon College,Hawks,Montgomery,Alabama,USA South Athletic Conference,III
Husson University,Eagles,Bangor,Maine,North Atlantic Conference,III
Idaho State University,Bengals,Pocatello,Idaho,Big Sky Conference,I
Illinois College,Blueboys and Lady Blues,Jacksonville,Illinois,Midwest Conference,III
Illinois Institute of Technology,Scarlet Hawks,Chicago,Illinois,Independent,III
Illinois State University,Redbirds,Normal,Illinois,Missouri Valley Conference,I
Illinois Wesleyan University,Titans,Bloomington,Illinois,College Conference of Illinois and Wisconsin,III
Immaculata University,Mighty Macs,Immaculata,Pennsylvania,Colonial States Athletic Conference,III
Indiana State University,Sycamores,Terre Haute,Indiana,Missouri Valley Conference,I
Indiana University,Hoosiers,Bloomington,Indiana,Big Ten Conference,I
Indiana University – Purdue University Fort Wayne,Mastodons,Fort Wayne,Indiana,The Summit League,I
Indiana University – Purdue University Indianapolis,Jaguars,Indianapolis,Indiana,The Summit League,I
Indiana University of Pennsylvania,Crimson Hawks,Indiana,Pennsylvania,Pennsylvania State Athletic Conference,II
Iona College,Gaels,New Rochelle,New York,Metro Atlantic Athletic Conference,I
Iowa State University,Cyclones,Ames,Iowa,Big 12 Conference,I
Iowa Wesleyan College,Tigers,Mt. Pleasant,Iowa,St. Louis Intercollegiate Athletic Conference,III
Ithaca College,Bombers,Ithaca,New York,Empire 8,III
Jackson State University,Tigers and Lady Tigers,Jackson,Mississippi,Southwestern Athletic Conference,I
Jacksonville State University,Gamecocks,Jacksonville,Alabama,Ohio Valley Conference,I
Jacksonville University,Dolphins,Jacksonville,Florida,Atlantic Sun Conference,I
James Madison University,Dukes,Harrisonburg,Virginia,Colonial Athletic Association,I
John Carroll University,Blue Streaks,University Heights,Ohio,Ohio Athletic Conference,III
John Jay College of Criminal Justice,Bloodhounds,New York,New York,City University of New York Athletic Conference,III
Johns Hopkins University[A 10],Blue Jays,Baltimore,Maryland,Centennial Conference,III
Johnson & Wales University,Wildcats,Providence,Rhode Island,Great Northeast Athletic Conference,III
Johnson C. Smith University,Golden Bulls,Charlotte,North Carolina,Central Intercollegiate Athletic Association,II
Johnson State College,Badgers,Johnson,Vermont,North Atlantic Conference,III
Juniata College,Eagles,Huntingdon,Pennsylvania,Landmark Conference,III
Kalamazoo College,Hornets,Kalamazoo,Michigan,Michigan Intercollegiate Athletic Association,III
Kansas State University,Wildcats,Manhattan,Kansas,Big 12 Conference,I
Kean University,Cougars,Union Township,New Jersey,New Jersey Athletic Conference,III
Keene State College,Owls,Keene,New Hampshire,Little East Conference,III
Kennesaw State University,Owls and Lady Owls,Kennesaw,Georgia,Atlantic Sun Conference,I
Kent State University,Golden Flashes,Kent,Ohio,Mid-American Conference,I
Kentucky State University,Thorobreds & Thorobrettes,Frankfort,Kentucky,Southern Intercollegiate Athletic Conference,II
Kentucky Wesleyan College,Panthers,Owensboro,Kentucky,Great Midwest Athletic Conference,II
Kenyon College,Lords and Ladies,Gambier,Ohio,North Coast Athletic Conference,III
Keuka College,Wolves,Keuka Park,New York,North Eastern Athletic Conference,III
Keystone College,Giants,La Plume Township,Pennsylvania,Colonial States Athletic Conference,III
King University,Tornados,Bristol,Tennessee,Conference Carolinas,II
King's College,Monarchs,Wilkes-Barre,Pennsylvania,MAC Freedom Conference,III
Knox College,Prairie Fire,Galesburg,Illinois,Midwest Conference,III
Kutztown University of Pennsylvania,Golden Bears,Kutztown,Pennsylvania,Pennsylvania State Athletic Conference,II
La Roche College,Redhawks,Pittsburgh,Pennsylvania,Allegheny Mountain Collegiate Conference,III
La Salle University,Explorers,Philadelphia,Pennsylvania,Atlantic 10 Conference,I
Lafayette College,Leopards,Easton,Pennsylvania,Patriot League,I
LaGrange College,Panthers,LaGrange,Georgia,USA South Athletic Conference,III
Lake Erie College,Storm,Painesville,Ohio,Great Lakes Intercollegiate Athletic Conference,II
Lake Forest College,Foresters,Lake Forest,Illinois,Midwest Conference,III
Lake Superior State University,Lakers,Sault Ste. Marie,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Lakeland College,Muskies,Sheboygan,Wisconsin,Northern Athletics Collegiate Conference,III
Lamar University,Cardinals and Lady Cardinals,Beaumont,Texas,Southland Conference,I
Lancaster Bible College,Chargers,Lancaster,Pennsylvania,North Eastern Athletic Conference,III
Lander University,Bearcats,Greenwood,South Carolina,Peach Belt Conference,II
Lane College,Dragons,Jackson,Tennessee,Southern Intercollegiate Athletic Conference,II
Lasell College,Lasers,Newton,Massachusetts,Great Northeast Athletic Conference,III
Lawrence University,Vikings,Appleton,Wisconsin,Midwest Conference,III
Le Moyne College,Dolphins,Syracuse,New York,Northeast-10 Conference,II
Lebanon Valley College,Flying Dutchmen,Annville,Pennsylvania,MAC Commonwealth Conference,III
Lee University,Flames,Cleveland,Tennessee,Gulf South Conference,II
Lees–McRae College,Bobcats,Banner Elk,North Carolina,Conference Carolinas,II
Lehigh University,Mountain Hawks,Bethlehem,Pennsylvania,Patriot League,I
Lehman College,Lightning,The Bronx,New York,City University of New York Athletic Conference,III
LeMoyne–Owen College,Magicians,Memphis,Tennessee,Southern Intercollegiate Athletic Conference,II
Lenoir–Rhyne University,Bears,Hickory,North Carolina,South Atlantic Conference,II
Lesley University,Lynx,Boston,Massachusetts,New England Collegiate Conference,III
LeTourneau University,Yellow Jackets,Longview,Texas,American Southwest Conference,III
Lewis & Clark College,Pioneers,Portland,Oregon,Northwest Conference,III
Lewis University,Flyers,Romeoville,Illinois,Great Lakes Valley Conference,II
Liberty University,Flames and Lady Flames,Lynchburg,Virginia,Big South Conference,I
Limestone College,Saints,Gaffney,South Carolina,Conference Carolinas,II
Lincoln Memorial University,Railsplitters,Harrogate,Tennessee,South Atlantic Conference,II
Lincoln University (MO),Blue Tigers,Jefferson City,Missouri,Mid-America Intercollegiate Athletics Association,II
Lincoln University (PA),Lions,Chester County,Pennsylvania,Central Intercollegiate Athletic Association,II
Lindenwood University,Lions & Lady Lions,St. Charles,Missouri,Mid-America Intercollegiate Athletics Association,II
Linfield College,Wildcats,McMinnville,Oregon,Northwest Conference,III
Lipscomb University,Bisons and Lady Bisons,Nashville,Tennessee,Atlantic Sun Conference,I
Livingstone College,Blue Bears,Salisbury,North Carolina,Central Intercollegiate Athletic Association,II
Lock Haven University of Pennsylvania,Bald Eagles,Lock Haven,Pennsylvania,Pennsylvania State Athletic Conference,II
Long Island University–Brooklyn,Blackbirds,Brooklyn,New York,Northeast Conference,I
Long Island University–Post,Pioneers,Brookville,New York,East Coast Conference,II
Longwood University,Lancers,Farmville,Virginia,Big South Conference,I
Loras College,Duhawks,Dubuque,Iowa,Iowa Intercollegiate Athletic Conference,III
Louisiana College,Wildcats,Pineville,Louisiana,American Southwest Conference,III
Louisiana State University,Tigers and Lady Tigers[A 11],Baton Rouge,Louisiana,Southeastern Conference,I
Louisiana Tech University,Bulldogs and Lady Techsters,Ruston,Louisiana,Conference USA,I
Loyola Marymount University,Lions,Los Angeles,California,West Coast Conference,I
Loyola University Chicago,Ramblers[A 12],Chicago,Illinois,Missouri Valley Conference,I
Loyola University Maryland,Greyhounds,Baltimore,Maryland,Patriot League,I
Lubbock Christian University,Chaparrals & Lady Chaps,Lubbock,Texas,Heartland Conference,II
Luther College,Norse,Decorah,Iowa,Iowa Intercollegiate Athletic Conference,III
Lycoming College,Warriors,Williamsport,Pennsylvania,MAC Commonwealth Conference,III
Lynchburg College,Hornets,Lynchburg,Virginia,Old Dominion Athletic Conference,III
Lyndon State College,Hornets,Lyndonville,Vermont,North Atlantic Conference,III
Lynn University,Fighting Knights,Boca Raton,Florida,Sunshine State Conference,II
Macalester College,Scots,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,III
MacMurray College,Highlanders,Jacksonville,Illinois,St. Louis Intercollegiate Athletic Conference,III
Maine Maritime Academy,Mariners,Castine,Maine,North Atlantic Conference,III
Malone University,Pioneers,Canton,Ohio,Great Midwest Athletic Conference,II
Manchester University,Spartans,North Manchester,Indiana,Heartland Collegiate Athletic Conference,III
Manhattan College,Jaspers and Lady Jaspers,Riverdale,New York,Metro Atlantic Athletic Conference,I
Manhattanville College,Valiants,Purchase,New York,MAC Freedom Conference,III
Mansfield University of Pennsylvania,Mountaineers,Mansfield,Pennsylvania,Pennsylvania State Athletic Conference,II
Maranatha Baptist University,Sabercats,Watertown,Wisconsin,Independent,III
Marian University,Sabres,Fond du Lac,Wisconsin,Northern Athletics Collegiate Conference,III
Marietta College,Pioneers,Marietta,Ohio,Ohio Athletic Conference,III
Marist College,Red Foxes,Poughkeepsie,New York,Metro Atlantic Athletic Conference,I
Marquette University,Golden Eagles,Milwaukee,Wisconsin,Big East Conference,I
Mars Hill University,Lions,Mars Hill,North Carolina,South Atlantic Conference,II
Marshall University,Thundering Herd,Huntington,West Virginia,Conference USA,I
Martin Luther College,Knights,New Ulm,Minnesota,Upper Midwest Athletic Conference,III
Mary Baldwin College,Fighting Squirrels,Staunton,Virginia,USA South Athletic Conference,III
Marymount University,Saints,Arlington,Virginia,Capital Athletic Conference,III
Maryville College,Scots,Maryville,Tennessee,USA South Athletic Conference,III
Maryville University,Saints,St. Louis,Missouri,Great Lakes Valley Conference,II
Marywood University,Pacers,Scranton,Pennsylvania,Colonial States Athletic Conference,III
Massachusetts College of Liberal Arts,Trailblazers,North Adams,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Massachusetts Institute of Technology[A 11],Engineers,Cambridge,Massachusetts,New England Women's and Men's Athletic Conference,III
Massachusetts Maritime Academy,Buccaneers,Buzzards Bay,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
McDaniel College,Green Terror,Westminster,Maryland,Centennial Conference,III
McKendree University,Bearcats,Lebanon,Illinois,Great Lakes Valley Conference,II
McMurry University,War Hawks,Abilene,Texas,American Southwest Conference,III
McNeese State University,Cowboys and Cowgirls,Lake Charles,Louisiana,Southland Conference,I
Medaille College,Mavericks,Buffalo,New York,Allegheny Mountain Collegiate Conference,III
Medgar Evers College,Cougars,Brooklyn,New York,City University of New York Athletic Conference,III
Mercer University,Bears,Macon,Georgia,Southern Conference,I
Mercy College,Mavericks,Dobbs Ferry,New York,East Coast Conference,II
Mercyhurst University,Lakers,Erie,Pennsylvania,Pennsylvania State Athletic Conference,II
Meredith College,Angels,Raleigh,North Carolina,USA South Athletic Conference,III
Merrimack College,Warriors,North Andover,Massachusetts,Northeast-10 Conference,II
Messiah College,Falcons,Grantham,Pennsylvania,MAC Commonwealth Conference,III
Methodist University,Monarchs,Fayetteville,North Carolina,USA South Athletic Conference,III
Metropolitan State University of Denver,Roadrunners,Denver,Colorado,Rocky Mountain Athletic Conference,II
Miami University,Redhawks[A 15],Oxford,Ohio,Mid-American Conference,I
Michigan State University,Spartans,East Lansing,Michigan,Big Ten Conference,I
Michigan Technological University,Huskies,Houghton,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Middle Tennessee State University,Blue Raiders,Murfreesboro,Tennessee,Conference USA,I
Middlebury College,Panthers,Middlebury,Vermont,New England Small College Athletic Conference,III
Midwestern State University,Mustangs,Wichita Falls,Texas,Lone Star Conference,II
Miles College,Golden Bears,Fairfield,Alabama,Southern Intercollegiate Athletic Conference,II
Millersville University of Pennsylvania,Marauders,Millersville,Pennsylvania,Pennsylvania State Athletic Conference,II
Millikin University,Big Blue,Decatur,Illinois,College Conference of Illinois and Wisconsin,III
Mills College,Cyclones,Oakland,California,Independent,III
Millsaps College,Majors and Lady Majors,Jackson,Mississippi,Southern Athletic Association,III
Milwaukee School of Engineering,Raiders,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,III
Minnesota State University Moorhead,Dragons,Moorhead,Minnesota,Northern Sun Intercollegiate Conference,II
Minnesota State University, Mankato,Mavericks,Mankato,Minnesota,Northern Sun Intercollegiate Conference,II
Minot State University,Beavers,Minot,North Dakota,Northern Sun Intercollegiate Conference,II
Misericordia University,Cougars,Dallas,Pennsylvania,MAC Freedom Conference,III
Mississippi College,Choctaws,Clinton,Mississippi,Gulf South Conference,II
Mississippi State University,Bulldogs,Starkville,Mississippi,Southeastern Conference,I
Mississippi Valley State University,Delta Devils and Devilettes,Itta Bena,Mississippi,Southwestern Athletic Conference,I
Missouri Southern State University,Lions,Joplin,Missouri,Mid-America Intercollegiate Athletics Association,II
Missouri State University,Bears and Lady Bears,Springfield,Missouri,Missouri Valley Conference,I
Missouri University of Science and Technology,Miners,Rolla,Missouri,Great Lakes Valley Conference,II
Missouri Western State University,Griffons,St. Joseph,Missouri,Mid-America Intercollegiate Athletics Association,II
Mitchell College,Mariners,New London,Connecticut,New England Collegiate Conference,III
Molloy College,Lions,Rockville Centre,New York,East Coast Conference,II
Monmouth College,Scots,Monmouth,Illinois,Midwest Conference,III
Monmouth University,Hawks,West Long Branch,New Jersey,Metro Atlantic Athletic Conference,I
Montana State University,Bobcats,Bozeman,Montana,Big Sky Conference,I
Montana State University Billings,Yellowjackets,Billings,Montana,Great Northwest Athletic Conference,II
Montclair State University,Red Hawks,Montclair,New Jersey,New Jersey Athletic Conference,III
Moravian College,Greyhounds,Bethlehem,Pennsylvania,Landmark Conference,III
Morehead State University,Eagles,Morehead,Kentucky,Ohio Valley Conference,I
Morehouse College,Maroon Tigers,Atlanta,Georgia,Southern Intercollegiate Athletic Conference,II
Morgan State University,Bears and Lady Bears,Baltimore,Maryland,Mid-Eastern Athletic Conference,I
Morrisville State College,Mustangs,Morrisville,New York,North Eastern Athletic Conference,III
Mount Aloysius College,Mounties,Cresson,Pennsylvania,Allegheny Mountain Collegiate Conference,III
Mount Holyoke College,Lyons,South Hadley,Massachusetts,New England Women's and Men's Athletic Conference,III
Mount Ida College,Mustangs,Newton,Massachusetts,Great Northeast Athletic Conference,III
Mount Mary University,Blue Angels,Milwaukee,Wisconsin,Independent,III
Mount Saint Mary College,Knights,Newburgh,New York,Skyline Conference,III
Mount St. Joseph University,Lions,Cincinnati,Ohio,Heartland Collegiate Athletic Conference,III
Mount St. Mary's University,Mountaineers,Emmitsburg,Maryland,Northeast Conference,I
Muhlenberg College,Mules,Allentown,Pennsylvania,Centennial Conference,III
Murray State University,Racers[A 18],Murray,Kentucky,Ohio Valley Conference,I
Muskingum University,Fighting Muskies,New Concord,Ohio,Ohio Athletic Conference,III
Nazareth College,Golden Flyers,Rochester,New York,Empire 8,III
Nebraska Wesleyan University,Prairie Wolves,Lincoln,Nebraska,Iowa Intercollegiate Athletic Conference,III
Neumann University,Knights,Aston,Pennsylvania,Colonial States Athletic Conference,III
New England College,Pilgrims,Henniker,New Hampshire,North Atlantic Conference,III
New Jersey City University,Gothic Knights,Jersey City,New Jersey,New Jersey Athletic Conference,III
New Jersey Institute of Technology,Highlanders,Newark,New Jersey,Atlantic Sun Conference,I
New Mexico Highlands University,Cowboys & Cowgirls,Las Vegas,New Mexico,Rocky Mountain Athletic Conference,II
New Mexico State University,Aggies,Las Cruces,New Mexico,Western Athletic Conference,I
New York Institute of Technology,Bears,Old Westbury,New York,East Coast Conference,II
New York University (NYU),Violets,New York,New York,University Athletic Association,III
Newberry College,Wolves,Newberry,South Carolina,South Atlantic Conference,II
Newbury College,Nighthawks,Brookline,Massachusetts,New England Collegiate Conference,III
Newman University,Jets,Wichita,Kansas,Heartland Conference,II
Niagara University,Purple Eagles,Lewiston,New York,Metro Atlantic Athletic Conference,I
Nicholls State University,Colonels,Thibodaux,Louisiana,Southland Conference,I
Nichols College,Bison,Dudley,Massachusetts,The Commonwealth Coast Conference,III
Norfolk State University,Spartans,Norfolk,Virginia,Mid-Eastern Athletic Conference,I
North Carolina Agricultural and Technical State University,Aggies,Greensboro,North Carolina,Mid-Eastern Athletic Conference,I
North Carolina Central University,Eagles,Durham,North Carolina,Mid-Eastern Athletic Conference,I
North Carolina State University,Wolfpack,Raleigh,North Carolina,Atlantic Coast Conference,I
North Carolina Wesleyan College,Bishops,Rocky Mount,North Carolina,USA South Athletic Conference,III
North Central College,Cardinals,Naperville,Illinois,College Conference of Illinois and Wisconsin,III
North Central University,Rams,Minneapolis,Minnesota,Upper Midwest Athletic Conference,III
North Dakota State University,Bison,Fargo,North Dakota,The Summit League,I
North Greenville University,Crusaders,Tigerville,South Carolina,Conference Carolinas,II
North Park University,Vikings,Chicago,Illinois,College Conference of Illinois and Wisconsin,III
Northeastern State University,RiverHawks,Tahlequah,Oklahoma,Mid-America Intercollegiate Athletics Association,II
Northeastern University,Huskies,Boston,Massachusetts,Colonial Athletic Association,I
Northern Arizona University,Lumberjacks,Flagstaff,Arizona,Big Sky Conference,I
Northern Illinois University,Huskies,DeKalb,Illinois,Mid-American Conference,I
Northern Kentucky University,Norse,Highland Heights,Kentucky,Horizon League,I
Northern Michigan University,Wildcats,Marquette,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Northern State University,Wolves,Aberdeen,South Dakota,Northern Sun Intercollegiate Conference,II
Northland College,Lumberjacks and Lumberjills,Ashland,Wisconsin,Upper Midwest Athletic Conference,III
Northwest Missouri State University,Bearcats,Maryville,Missouri,Mid-America Intercollegiate Athletics Association,II
Northwest Nazarene University,Crusaders,Nampa,Idaho,Great Northwest Athletic Conference,II
Northwestern Oklahoma State University,Rangers,Alva,Oklahoma,Great American Conference,II
Northwestern State University,Demons and Lady Demons,Natchitoches,Louisiana,Southland Conference,I
Northwestern University,Wildcats,Evanston,Illinois,Big Ten Conference,I
Northwood University,Timberwolves,Midland,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Norwich University,Cadets,Northfield,Vermont,Great Northeast Athletic Conference,III
Notre Dame College,Falcons,South Euclid,Ohio,Mountain East Conference,II
Notre Dame de Namur University,Argonauts,Belmont,California,Pacific West Conference,II
Notre Dame of Maryland University,Gators,Baltimore,Maryland,Colonial States Athletic Conference,III
Nova Southeastern University,Sharks,Davie,Florida,Sunshine State Conference,II
Nyack College,Warriors,Nyack,New York,Central Atlantic Collegiate Conference,II
Oakland City University,Mighty Oaks,Oakland City,Indiana,Independent,II
Oakland University,Golden Grizzlies,Rochester,Michigan,Horizon League,I
Oberlin College,Yeomen and Yeowomen,Oberlin,Ohio,North Coast Athletic Conference,III
Occidental College,Tigers,Los Angeles,California,Southern California Intercollegiate Athletic Conference,III
Oglethorpe University,Stormy Petrels,Atlanta,Georgia,Southern Athletic Association,III
Ohio Dominican University,Panthers,Columbus,Ohio,Great Lakes Intercollegiate Athletic Conference,II
Ohio Northern University,Polar Bears,Ada,Ohio,Ohio Athletic Conference,III
Ohio University,Bobcats,Athens,Ohio,Mid-American Conference,I
Ohio Valley University,Fighting Scots,Vienna,West Virginia,Great Midwest Athletic Conference,II
Ohio Wesleyan University,Battling Bishops,Delaware,Ohio,North Coast Athletic Conference,III
Oklahoma Christian University,Eagles & Lady Eagles,Oklahoma City,Oklahoma,Heartland Conference,II
Oklahoma State University–Stillwater,Cowboys and Cowgirls,Stillwater,Oklahoma,Big 12 Conference,I
Old Dominion University,Monarchs and Lady Monarchs,Norfolk,Virginia,Conference USA,I
Olivet College,Comets,Olivet,Michigan,Michigan Intercollegiate Athletic Association,III
Oral Roberts University,Golden Eagles,Tulsa,Oklahoma,The Summit League,I
Oregon State University,Beavers,Corvallis,Oregon,Pac-12 Conference,I
Otterbein University,Cardinals,Westerville,Ohio,Ohio Athletic Conference,III
Ouachita Baptist University,Tigers,Arkadelphia,Arkansas,Great American Conference,II
Pace University,Setters,Pleasantville,New York,Northeast-10 Conference,II
Pacific Lutheran University,Lutes,Tacoma,Washington,Northwest Conference,III
Pacific University,Boxers,Forest Grove,Oregon,Northwest Conference,III
Paine College,Lions,Augusta,Georgia,Southern Intercollegiate Athletic Conference,II
Palm Beach Atlantic University,Sailfish,West Palm Beach,Florida,Sunshine State Conference,II
Pennsylvania College of Technology[A 2],Wildcats,Williamsport,Pennsylvania,North Eastern Athletic Conference,III
Pennsylvania State University,Nittany Lions[A 22],State College,Pennsylvania,Big Ten Conference,I
Pennsylvania State University, Abington,Nittany Lions,Abington,Pennsylvania,North Eastern Athletic Conference,III
Pennsylvania State University, Altoona,Lions,Altoona,Pennsylvania,Allegheny Mountain Collegiate Conference,III
Pennsylvania State University, Berks College,Nittany Lions,Reading,Pennsylvania,North Eastern Athletic Conference,III
Pennsylvania State University, Erie,Lions,Erie,Pennsylvania,Allegheny Mountain Collegiate Conference,III
Pennsylvania State University, Harrisburg,Lions,Harrisburg,Pennsylvania,Capital Athletic Conference,III
Pepperdine University,Waves,Malibu,California,West Coast Conference,I
Pfeiffer University,Falcons,Misenheimer,North Carolina,USA South Athletic Conference,III
Philadelphia University,Rams,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,II
Piedmont College,Lions,Demorest,Georgia,USA South Athletic Conference,III
Pine Manor College,Gators,Chestnut Hill,Massachusetts,Independent,III
Pittsburg State University,Gorillas,Pittsburg,Kansas,Mid-America Intercollegiate Athletics Association,II
Plymouth State University,Panthers,Plymouth,New Hampshire,Little East Conference,III
Point Loma Nazarene University,Sea Lions,San Diego,California,Pacific West Conference,II
Pomona College and Pitzer College,Sagehens,Claremont,California,Southern California Intercollegiate Athletic Conference,III
Portland State University,Vikings,Portland,Oregon,Big Sky Conference,I
Post University,Eagles,Waterbury,Connecticut,Central Atlantic Collegiate Conference,II
Prairie View A&M University,Panthers and Lady Panthers,Prairie View,Texas,Southwestern Athletic Conference,I
Presbyterian College,Blue Hose,Clinton,South Carolina,Big South Conference,I
Princeton University,Tigers,Princeton,New Jersey,Ivy League,I
Principia College,Panthers,Elsah,Illinois,St. Louis Intercollegiate Athletic Conference,III
Providence College,Friars,Providence,Rhode Island,Big East Conference,I
Purdue University,Boilermakers,West Lafayette,Indiana,Big Ten Conference,I
Queens College,Knights,Flushing,New York,East Coast Conference,II
Queens University of Charlotte,Royals,Charlotte,North Carolina,South Atlantic Conference,II
Quincy University,Hawks,Quincy,Illinois,Great Lakes Valley Conference,II
Quinnipiac University,Bobcats,Hamden,Connecticut,Metro Atlantic Athletic Conference,I
Radford University,Highlanders,Radford,Virginia,Big South Conference,I
Ramapo College,Roadrunners,Mahwah,New Jersey,New Jersey Athletic Conference,III
Randolph College,WildCats,Lynchburg,Virginia,Old Dominion Athletic Conference,III
Randolph–Macon College,Yellow Jackets,Ashland,Virginia,Old Dominion Athletic Conference,III
Regis College,Pride,Weston,Massachusetts,New England Collegiate Conference,III
Regis University,Rangers,Denver,Colorado,Rocky Mountain Athletic Conference,II
Rensselaer Polytechnic Institute[A 4][A 5],Red Hawks,Troy,New York,Liberty League,III
Rhode Island College,Anchormen,Providence,Rhode Island,Little East Conference,III
Rhodes College,Lynx,Memphis,Tennessee,Southern Athletic Association,III
Rice University,Owls,Houston,Texas,Conference USA,I
Rider University,Broncs,Lawrenceville,New Jersey,Metro Atlantic Athletic Conference,I
Ripon College,Red Hawks,Ripon,Wisconsin,Midwest Conference,III
Rivier University,Raiders,Nashua,New Hampshire,Great Northeast Athletic Conference,III
Roanoke College,Maroons,Salem,Virginia,Old Dominion Athletic Conference,III
Robert Morris University,Colonials,Moon Township,Pennsylvania,Northeast Conference,I
Roberts Wesleyan College,Redhawks,North Chili,New York,East Coast Conference,II
Rochester Institute of Technology[A 12][A 13],Tigers,Rochester,New York,Liberty League,III
Rockford University,Regents,Rockford,Illinois,Northern Athletics Collegiate Conference,III
Rockhurst University,Hawks,Kansas City,Missouri,Great Lakes Valley Conference,II
Roger Williams University,Hawks,Bristol,Rhode Island,The Commonwealth Coast Conference,III
Rogers State University,Hillcats,Claremore,Oklahoma,Heartland Conference,II
Rollins College,Tars,Winter Park,Florida,Sunshine State Conference,II
Rose-Hulman Institute of Technology,Engineers,Terre Haute,Indiana,Heartland Collegiate Athletic Conference,III
Rosemont College,Ravens,Rosement,Pennsylvania,Colonial States Athletic Conference,III
Rowan University,Profs,Glassboro,New Jersey,New Jersey Athletic Conference,III
Russell Sage College,Gators,Troy,New York,Skyline Conference,III
Rust College,Bearcats,Holly Springs,Mississippi,Independent,III
Rutgers University,Scarlet Knights,New Brunswick,New Jersey,Big Ten Conference,I
Rutgers University–Camden,Scarlet Raptors,Camden,New Jersey,New Jersey Athletic Conference,III
Rutgers University–Newark,Scarlet Raiders,Newark,New Jersey,New Jersey Athletic Conference,III
Sacred Heart University,Pioneers,Fairfield,Connecticut,Northeast Conference,I
Saginaw Valley State University,Cardinals,University Center,Michigan,Great Lakes Intercollegiate Athletic Conference,II
Saint Anselm College,Hawks,Goffstown,New Hampshire,Northeast-10 Conference,II
Saint Augustine's University,Falcons,Raleigh,North Carolina,Central Intercollegiate Athletic Association,II
Saint Francis University,Red Flash[A 25],Loretto,Pennsylvania,Northeast Conference,I
Saint John's University,Johnnies,Collegeville,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Saint Joseph's College of Maine,Monks,Standish,Maine,Great Northeast Athletic Conference,III
Saint Joseph's University,Hawks[A 27],Philadelphia,Pennsylvania,Atlantic 10 Conference,I
Saint Leo University,Lions,St. Leo,Florida,Sunshine State Conference,II
Saint Louis University,Billikens,St. Louis,Missouri,Atlantic 10 Conference,I
Saint Martin's University,Saints,Lacey,Washington,Great Northwest Athletic Conference,II
Saint Mary's College,Belles,Notre Dame,Indiana,Michigan Intercollegiate Athletic Association,III
Saint Mary's College of California,Gaels,Moraga,California,West Coast Conference,I
Saint Mary's University of Minnesota,Cardinals,Winona,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Saint Michael's College,Purple Knights,Colchester,Vermont,Northeast-10 Conference,II
Saint Peter's University,Peacocks and Peahens,Jersey City,New Jersey,Metro Atlantic Athletic Conference,I
Saint Vincent College,Bearcats,Latrobe,Pennsylvania,Presidents' Athletic Conference,III
Salem College,Spirits,Winston-Salem,North Carolina,USA South Athletic Conference,III
Salem International University,Tigers,Salem,West Virginia,Independent,II
Salem State University,Vikings,Salem,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Salisbury University,Sea Gulls,Salisbury,Maryland,Capital Athletic Conference,III
Salve Regina University,Seahawks,Newport,Rhode Island,The Commonwealth Coast Conference,III
Sam Houston State University,Bearkats,Huntsville,Texas,Southland Conference,I
Samford University,Bulldogs,Homewood,Alabama,Southern Conference,I
San Diego State University,Aztecs,San Diego,California,Mountain West Conference,I
San Francisco State University,Gators,San Francisco,California,California Collegiate Athletic Association,II
San Jose State University,Spartans,San Jose,California,Mountain West Conference,I
Santa Clara University,Broncos,Santa Clara,California,West Coast Conference,I
Sarah Lawrence College,Gryphons,Yonkers,New York,Skyline Conference,III
Savannah State University,Tigers and Lady Tigers,Savannah,Georgia,Mid-Eastern Athletic Conference,I
Schreiner University,Mountaineers,Kerrville,Texas,Southern Collegiate Athletic Conference,III
Seattle Pacific University,Falcons,Seattle,Washington,Great Northwest Athletic Conference,II
Seattle University,Redhawks,Seattle,Washington,Western Athletic Conference,I
Seton Hall University,Pirates,South Orange,New Jersey,Big East Conference,I
Seton Hill University,Griffins,Greensburg,Pennsylvania,Pennsylvania State Athletic Conference,II
Sewanee: The University of the South,Tigers,Sewanee,Tennessee,Southern Athletic Association,III
Shaw University,Bears,Raleigh,North Carolina,Central Intercollegiate Athletic Association,II
Shenandoah University,Hornets,Winchester,Virginia,Old Dominion Athletic Conference,III
Shepherd University,Rams,Shepherdstown,West Virginia,Mountain East Conference,II
Shippensburg University of Pennsylvania,Red Raiders,Shippensburg,Pennsylvania,Pennsylvania State Athletic Conference,II
Shorter University,Hawks,Rome,Georgia,Gulf South Conference,II
Siena College,Saints,Loudonville,New York,Metro Atlantic Athletic Conference,I
Simmons College,Sharks,Boston,Massachusetts,Great Northeast Athletic Conference,III
Simon Fraser University,Clan,Burnaby,British Columbia,Great Northwest Athletic Conference,II
